Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
China,CHN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,2.35559E+12,2.4629E+12,2.36015E+12,2.19792E+12,2.42928E+12,2.65101E+12,2.631E+12,2.7389E+12,3.55523E+12
Malaysia,MYS,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,2.44385E+11,2.49539E+11,2.09568E+11,2.01121E+11,2.23702E+11,2.45886E+11,2.38361E+11,2.08217E+11,2.63836E+11
Thailand,THA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,2.82259E+11,2.78578E+11,2.71446E+11,2.77274E+11,3.04652E+11,3.28582E+11,3.23878E+11,2.57981E+11,2.96002E+11
Fiji,FJI,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,2377615452,2543209905,2281871121,2304372448,2467109097,2660357995,2636399008,1230186406,1171219630
Indonesia,IDN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,2.05033E+11,1.98824E+11,1.71345E+11,1.67793E+11,1.9421E+11,2.11932E+11,2.00097E+11,1.78418E+11,2.46787E+11
Palau,PLW,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,139228205.3,158330962.6,179042919.2,146158000,132457000,123835000,107823000,58349000,12070000
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,
